RedField(Td)          RedDiff((ms)^-1)      RedMob((msV)^-1)      DriftVelocity(ms^-1)  RedTow(m^2)           RedAtt(m^2)           RedDiffE(eV(ms)^-1)   RedMobE(eV(msV)^-1)   MeanE(eV)             CharE(eV)             EleTemp(eV)           
+1.73972643234380e-03 +2.90002371237238e+22 +1.76991299386642e+24 +3.07916441837816e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06788726155425e+21 +7.28256028923389e+22 +2.46141872819187e-02 +1.63851201862596e-02 +1.64094581879458e-02 
+1.78856616188346e-03 +2.90002493569872e+22 +1.76991300438610e+24 +3.16560650912248e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06788814880888e+21 +7.28256341842402e+22 +2.46141975930983e-02 +1.63851270006607e-02 +1.64094650620655e-02 
+1.83877698008233e-03 +2.90002622866603e+22 +1.76991301550473e+24 +3.25447530965819e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06788908657339e+21 +7.28256672575141e+22 +2.46142084912677e-02 +1.63851342029881e-02 +1.64094723275118e-02 
+1.89039737781922e-03 +2.90002759523914e+22 +1.76991302725636e+24 +3.34583894569350e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06789007772337e+21 +7.28257022135786e+22 +2.46142200098458e-02 +1.63851418153277e-02 +1.64094800065639e-02 
+1.94346692653602e-03 +2.90002903960717e+22 +1.76991303967707e+24 +3.43976745545722e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06789112529736e+21 +7.28257391595890e+22 +2.46142321841417e-02 +1.63851498610140e-02 +1.64094881227611e-02 
+1.99802630857255e-03 +2.90003056619856e+22 +1.76991305280492e+24 +3.53633284339020e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06789223250725e+21 +7.28257782088223e+22 +2.46142450514819e-02 +1.63851583647154e-02 +1.64094967009880e-02 
+2.05411734835306e-03 +2.90003217969280e+22 +1.76991306668020e+24 +3.63560913534458e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06789340274722e+21 +7.28258194809773e+22 +2.46142586513088e-02 +1.63851673524980e-02 +1.64095057675392e-02 
+2.11178304444824e-03 +2.90003388503692e+22 +1.76991308134544e+24 +3.73767243533244e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06789463960531e+21 +7.28258631025958e+22 +2.46142730253200e-02 +1.63851768519186e-02 +1.64095153502133e-02 
+2.17106760253726e-03 +2.90003568745847e+22 +1.76991309684560e+24 +3.84260098386789e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06789594687320e+21 +7.28259092073959e+22 +2.46142882175771e-02 +1.63851868920966e-02 +1.64095254783848e-02 
+2.23201646929523e-03 +2.90003759248220e+22 +1.76991311322825e+24 +3.95047521794706e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06789732855814e+21 +7.28259579366976e+22 +2.46143042746474e-02 +1.63851975038065e-02 +1.64095361830982e-02 
+2.29467636723194e-03 +2.90003960594816e+22 +1.76991313054361e+24 +4.06137783271192e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06789878889601e+21 +7.28260094398862e+22 +2.46143212457552e-02 +1.63852087195796e-02 +1.64095474971701e-02 
+2.35909533050864e-03 +2.90004173402803e+22 +1.76991314884479e+24 +4.17539384484558e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06790033236329e+21 +7.28260638748298e+22 +2.46143391829202e-02 +1.63852205737941e-02 +1.64095594552802e-02 
